Prompt,Predictions,Scores,Reward
Find material entities.,"['vanadium dioxide', ' graphene', ' dielectric film', ' gold'],['electronic components', ' ambient sound', ' phononic crystals', ' acoustic metamaterials', ' piezoelectric materials', ' defect mode metamaterial', ' Gradient Index (GRIN) system', ' topological metamaterial'],['Douglas fir wood', ' metamaterial catalysts', ' microlattices', ' bimodal pores', ' 316L stainless steel', ' Fe', ' Co']","0.5454545454545454,0.7692307692307693,0.6666666666666666",0.6604506604506604
Find material entities.  entrada ,"['vanadium dioxide', ' graphene', ' metamaterial', ' graphene disks', ' VO2 square rings', ' dielectric film', ' gold mirror'],['electronic components', ' ambient sound', ' phononic crystals', ' acoustic metamaterials', ' piezoelectric materials', ' defect mode metamaterial', ' Gradient Index (GRIN) system', ' topological metamaterial'],['Douglas fir wood', ' metamaterial catalysts', ' microlattices', ' pores', ' 316L stainless steel', ' Fe', ' Co']","0.8571428571428571,0.7692307692307693,0.6666666666666666",0.7643467643467643
Find material entities.  • ,"['vanadium dioxide', ' graphene', ' graphene disks', ' VO2 square rings', ' dielectric film', ' gold mirror'],['electronic components', ' ambient sound', ' phononic crystals', ' acoustic metamaterials', ' piezoelectric materials', ' defect mode metamaterial', ' Gradient Index (GRIN) system', ' topological metamaterial'],['Douglas fir wood', ' metamaterial catalysts', ' microlattices', ' bimodal pores', ' 316L stainless steel', ' Fe', ' Co']","0.923076923076923,0.7692307692307693,0.6666666666666666",0.7863247863247863
Find material entities. ex ,"['vanadium dioxide', ' graphene', ' graphene disks', ' VO2 square rings', ' dielectric film', ' gold mirror'],['electronic components', ' ambient sound', ' phononic crystals', ' acoustic metamaterials', ' piezoelectric materials', ' defect mode metamaterial', ' Gradient Index (GRIN) system', ' topological metamaterial'],['Douglas fir wood', ' metamaterial catalysts', ' microlattices', ' bimodal pores', ' 316L stainless steel', ' Fe', ' Co']","0.923076923076923,0.7692307692307693,0.6666666666666666",0.7863247863247863
Find material entities. � ,"['vanadium dioxide (VO2)', ' graphene', ' metamaterial', ' cross-cut graphene disks (CGDs)', ' VO2 square rings (VSRs)', ' dielectric film', ' gold mirror'],['electronic components', ' ambient sound', ' phononic crystals', ' acoustic metamaterials', ' piezoelectric materials', ' defect mode metamaterial', ' Gradient Index (GRIN) system', ' topological metamaterial'],['Douglas fir wood', ' metamaterial catalysts', ' microlattices', ' bimodal pores', ' 316L stainless steel', ' Fe', ' Co']","0.8571428571428571,0.7692307692307693,0.6666666666666666",0.7643467643467643
Find material entities.  Nä ,"['terahertz metamaterial absorber', ' vanadium dioxide (VO2)', ' graphene', ' metamaterial', ' cross-cut graphene disks (CGDs)', ' VO2 square rings (VSRs)', ' dielectric film', ' gold mirror'],['electronic components', ' ambient sound', ' phononic crystals', ' acoustic metamaterials', ' piezoelectric materials', ' defect mode metamaterial', ' Gradient Index (GRIN) system', ' topological metamaterial'],['Douglas fir wood', ' metamaterial catalysts', ' microlattices', ' bimodal pores', ' 316\u2009L stainless steel', ' Fe', ' Co']","0.9333333333333333,0.7692307692307693,0.8333333333333333",0.8452991452991453
Find material entities. ил ,"['terahertz metamaterial absorber', ' vanadium dioxide (VO2)', ' graphene', ' metamaterial', ' cross-cut graphene disks (CGDs)', ' VO2 square rings (VSRs)', ' dielectric film', ' gold mirror'],['electronic components', ' ambient sound', ' phononic crystals', ' acoustic metamaterials', ' piezoelectric materials', ' defect mode metamaterial', ' Gradient Index (GRIN) system', ' topological metamaterial'],['Douglas fir wood', ' metamaterial catalysts', ' microlattices', ' bimodal pores', ' 316L stainless steel', ' Fe', ' Co']","0.9333333333333333,0.7692307692307693,0.6666666666666666",0.7897435897435897
Find material entities. tooltip ,"['vanadium dioxide', ' graphene', ' graphene disks', ' VO2 square rings', ' dielectric film', ' gold mirror'],['phononic crystals', ' acoustic metamaterials', ' piezoelectric materials', ' defect mode metamaterial', ' Gradient Index (GRIN) system', ' topological metamaterial'],['Douglas fir wood', ' metamaterial catalysts', ' microlattices', ' pores', ' 316 L stainless steel', ' Fe', ' Co']","0.923076923076923,0.7272727272727272,0.8333333333333333",0.8278943278943278
Find material entities. Auf ,"['terahertz metamaterial absorber', ' vanadium dioxide (VO2)', ' graphene', ' metamaterial', ' cross-cut graphene disks (CGDs)', ' VO2 square rings (VSRs)', ' dielectric film', ' gold mirror'],['electronic components', ' ambient sound', ' phononic crystals', ' acoustic metamaterials', ' piezoelectric materials', ' defect mode metamaterial', ' Gradient Index (GRIN) system', ' topological metamaterial'],['Douglas fir wood', ' metamaterial catalysts', ' microlattices', ' bimodal pores', ' 316L stainless steel', ' Fe', ' Co']","0.9333333333333333,0.7692307692307693,0.6666666666666666",0.7897435897435897
Find material entities. itions ,"['vanadium dioxide', ' graphene', ' graphene disks', ' VO2 square rings', ' dielectric film', ' gold mirror'],['electronic components', ' ambient sound', ' phononic crystals', ' acoustic metamaterials', ' piezoelectric materials', ' defect mode metamaterial', ' Gradient Index (GRIN) system', ' topological metamaterial'],['Douglas fir wood', ' metamaterial catalysts', ' microlattices', ' bimodal pores', ' 316L stainless steel', ' Fe', ' Co']","0.923076923076923,0.7692307692307693,0.6666666666666666",0.7863247863247863
